Month, dengue
2010-01,18
2010-02,16
2010-03,11
2010-04,6
2010-05,9
2010-06,14
2010-07,32
2010-08,65
2010-09,92
2010-10,34
2010-11,20
2010-12,17
2011-01,18
2011-02,16
2011-03,11
2011-04,7
2011-05,8
2011-06,10
2011-07,17
2011-08,55
2011-09,42
2011-10,29
2011-11,22
2011-12,18
2012-01,16
2012-02,13
2012-03,11
2012-04,7
2012-05,11
2012-06,19
2012-07,28
2012-08,32
2012-09,29
2012-10,22
2012-11,17
2012-12,14
2013-01,14
2013-02,13
2013-03,9
2013-04,6
2013-05,7
2013-06,17
2013-07,28
2013-08,28
2013-09,27
2013-10,22
2013-11,16
2013-12,15
2014-01,14
2014-02,11
2014-03,9
2014-04,6
2014-05,6
2014-06,10
2014-07,15
2014-08,16
2014-09,16
2014-10,16
2014-11,15
2014-12,12
2015-01,13
2015-02,11
2015-03,9
2015-04,6
2015-05,6
2015-06,9
2015-07,17
2015-08,19
2015-09,32
2015-10,39
2015-11,24
2015-12,16
2016-01,18
2016-02,14
2016-03,12
2016-04,8
2016-05,6
2016-06,11
2016-07,20
2016-08,32
2016-09,26
2016-10,18
2016-11,17
2016-12,13
2017-01,13
2017-02,12
2017-03,10
2017-04,7
2017-05,7
2017-06,11
2017-07,16
2017-08,19
2017-09,16
2017-10,15
2017-11,15
2017-12,24
2018-01,17
2018-02,15
2018-03,11
2018-04,7
2018-05,6
2018-06,11
2018-07,18
2018-08,24
2018-09,20
2018-10,18
2018-11,19
2018-12,19
2019-01,27
2019-02,18
2019-03,13
2019-04,9
2019-05,8
2019-06,15
2019-07,52
2019-08,100
2019-09,85
2019-10,42
2019-11,25
2019-12,17
2020-01,20
2020-02,14
2020-03,11
2020-04,6
2020-05,6
2020-06,7
2020-07,9
2020-08,9
2020-09,8
2020-10,9
2020-11,11
2020-12,10
2021-01,12
2021-02,13
2021-03,10
2021-04,11
2021-05,9
2021-06,10
2021-07,13
2021-08,16
2021-09,13
2021-10,11
2021-11,12
2021-12,11
2022-01,14
2022-02,11
2022-03,12
2022-04,12
2022-05,14
2022-06,23
2022-07,39
2022-08,36
2022-09,24
2022-10,20
2022-11,18
2022-12,15
2023-01,14
2023-02,13
2023-03,13
2023-04,11
2023-05,11
2023-06,15
2023-07,16
2023-08,15
2023-09,17
2023-10,19
2023-11,17
2023-12,15
2024-01,14
2024-02,14
2024-03,11
2024-04,8
2024-05,9
2024-06,16
2024-07,29
2024-08,48
2024-09,34
2024-10,27
2024-11,26
2024-12,24
